SYMBOL,AVG,
ECLERX,23.483337,
ECLFINANCE,7.433329,
ECLFINANCE,9.0,
ECLFINANCE,5.3333335,
ECLFINANCE,26.283346,
ECLFINANCE,16.650003,
ECLFINANCE,10.333333,
ECLFINANCE,27.666666,
ECLFINANCE,39.926678,
ECLFINANCE,44.630005,
ECLFINANCE,0.0,
ECLFINANCE,18.333334,
ECLFINANCE,4.0033364,
ECLFINANCE,12.666667,
ECLFINANCE,54.666668,
ECLFINANCE,11.07666,
ECLFINANCE,12.066667,
ECLFINANCE,45.069996,
ECLFINANCE,14.633342,
EDELWEISS,4.766668,
EDL,17.133326,
EDUCOMP,143.69974,
EHFLNCD,4.00334,
EICHERMOT,388.43335,
EIDPARRY,135.88333,
EIFFL,3.8666637,
EIHAHOTELS,8.216672,
EIHOTEL,3.5833359,
EIMCOELECO,8.866661,
EKC,6.2833333,
ELECON,5.266668,
ELECTCAST,3.3999965,
ELECTHERM,1.1999995,
ELGIEQUIP,10.183334,
ELGIRUBCO,2.533329,
EMAMILTD,3.2166684,
EMAMIPAP,9.316661,
EMAMIREAL,0.38333535,
EMBASSY,5.240003,
EMCO,3.8966706,
EMKAY,1.1966652,
EMKAYTOOLS,1.0900005,
EMMBI,15.05,
EMOFSR1RDP,0.19333363,
EMOFSR1RGG,2.0700006,
ENDURANCE,40.96667,
ENERGYDEV,0.41666666,
ENGINERSIN,1.7000021,
ENIL,11.999997,
EON,17.196663,
EQ30,6.299998,
EQUITAS,35.633335,
ERFLNCDI,6.0,
ERFLNCDI,16.566671,
ERFLNCDI,5.6333413,
ERFLNCDI,44.570004,
ERIS,45.143322,
EROSMEDIA,7.9500003,
ESABINDIA,39.800014,
ESCORTS,14.033328,
ESSARSHPNG,19.9,
ESSELPACK,29.450005,
ESTER,0.4166659,
EUROCERA,1.9666637,
EUROMULTI,1.8166661,
EUROTEXIND,5.299996,
EVEREADY,0.3833331,
EVERESTIND,23.983332,
EXCEL,3.7333329,
EXCELINDUS,16.600006,
EXIDEIND,1.4333323,
EXPLEOSOL,24.833334,
FACT,2.8666713,
FAIRCHEM,15.333333,
FCL,0.933332,
FCONSUMER,11.533337,
FCSSOFT,1.4666668,
FDC,1.8499998,
FEDERALBNK,0.96666485,
FEL,9.98333,
FELDVR,1.8833351,
FIEMIND,8.733337,
FILATEX,25.91665,
FINCABLES,14.016663,
FINEORG,55.850033,
FINPIPE,14.450012,
FLEXITUFF,36.61665,
FLFL,8.266673,
FLUOROCHEM,7.816671,
FMGOETZE,29.766653,
FMNL,6.3333373,
FOCUS,35.01668,
FORCEMOT,19.200006,
FORTIS,3.850001,
FOSECOIND,62.783344,
FOURTHDIM,1.6833305,
FRETAIL,40.549995,
FSC,5.0166726,
FSL,5.0666733,
GABRIEL,7.2833333,
GAEL,26.049967,
GAIL,2.883335,
GAL,3.8500004,
GALAXYSURF,16.233341,
GALLANTT,4.7666645,
GALLISPAT,29.9,
GAMMNINFRA,1.6166672,
GANDHITUBE,4.1166644,
GANECOS,2.5166667,
GANESHHOUC,2.4666672,
GANGESSECU,28.666632,
GANGOTRI,1.1333328,
GARDENSILK,1.4166664,
GARFIBRES,27.083344,
GATI,2.4000025,
GAYAHWS,32.78332,
GAYAPROJ,0.33333334,
GDL,3.0499995,
GEECEE,3.1499984,
GEEKAYWIRE,1.5999998,
GENESYS,1.8166676,
GENUSPAPER,6.033333,
GENUSPOWER,6.8833375,
GEOJITFSL,3.3666668,
GEPIL,11.016656,
GESHIP,16.15001,
GET&D,6.466675,
GFLLIMITED,7.8666687,
GHCL,6.6499996,
GICHSGFIN,14.03333,
GICRE,4.35,
GILLANDERS,5.2499976,
GILLETTE,13.75,
GINNIFILA,24.666733,
GIPCL,6.450003,
GKWLIMITED,3.833341,
GLAXO,35.616688,
GLENMARK,18.816633,
GLFL,7.716675,
GLOBALVECT,5.4666734,
GLOBOFFS,1.9499997,
GLOBUSSPR,32.916637,
GMBREW,7.1500034,
GMDCLTD,8.666679,
GMMPFAUDLR,26.499998,
GMRINFRA,33.483334,
GNA,7.1500015,
GNFC,26.416662,
GOACARBON,6.75,
GOCLCORP,8.883342,
GODFRYPHLP,66.783325,
GODREJAGRO,39.48335,
GODREJCP,20.949991,
GODREJIND,10.649987,
GODREJPROP,32.849987,
GOENKA,3.8666747,
GOKEX,18.71666,
GOKUL,0.30000013,
GOKULAGRO,1.6666666,
GOLDBEES,8.366666,
GOLDENTOBC,8.883285,
GOLDIAM,3.0566647,
GOLDSHARE,17.683332,
GOLDTECH,3.6499994,
GOODLUCK,23.133364,
GPIL,4.8833313,
GPPL,2.5666656,
GPTINFRA,3.7166672,
GRANULES,5.2500024,
GRAPHITE,10.916675,
GRASIM,11.733325,
GRAVITA,5.1833305,
GREAVESCOT,23.066666,
GREENLAM,13.300006,
GREENPANEL,4.7666664,
GREENPLY,19.899982,
GREENPOWER,5.7833333,
GRINDWELL,12.816681,
GROBTEA,36.366665,
GRPLTD,29.866678,
GRSE,15.799999,
GSCLCEMENT,41.250004,
GSFC,67.96693,
GSKCONS,34.81654,
GSPL,3.8999965,
GSS,35.499935,
GTL,4.9666667,
GTLINFRA,0.599999,
GTNIND,1.0999994,
GTNTEX,1.2999995,
GTPL,7.183336,
GUFICBIO,2.850001,
GUJALKALI,8.399993,
GUJAPOLLO,5.4,
GUJGASLTD,7.6499887,
GUJRAFFIA,4.950002,
GULFOILLUB,4.3666625,
GULFPETRO,4.0,
GULPOLY,11.883336,
GVKPIL,14.599988,
HAL,12.650004,
HARITASEAT,24.066683,
HARRMALAYA,12.26666,
HATHWAY,5.9333267,
HATSUN,6.6166706,
HAVELLS,13.049995,
HAVISHA,4.5333333,
HBLPOWER,1.3999996,
HCC,0.46666703,
HCG,9.216682,
HCL-INSYS,10.349999,
HCLTECH,16.099997,
HDFC,21.83335,
HDFCAMC,19.783325,
HDFCBANK,27.466715,
HDFCLIFE,23.15332,
HDFCMFGETF,51.583332,
HDFCNIFETF,7.2366657,
HDFCSENETF,27.966675,
HDIL,4.263347,
HEG,47.81666,
HEIDELBERG,8.083335,
HEOF1100RG,19.06665,
